name;price;com_count;note;full_link
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;99.00;397;Aynı Gün Teslimat Seçeneği;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;99.90;173;Aynı Gün Teslimat Seçeneği;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287
