name_cs;name_et;price_cs;price_et;brut_kar;all_et_fees_tl;net_kar;com_count_cs;com_count_et;rating_et;note_cs;link_et;link_cs;image_et;image_cs
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;Personalized Name Heart Necklace/Customized Opened Necklaces in Sterling Silver,Gold Plated/Personalized Gift/Gift for Woman/Birthday Gift;54.9;218.11;163.21;34.547527;112.162473;999.0;;;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1044825541/personalized-name-heart?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-3&plkey=e4f7990c0ed7fb1f2f17373e79ae1ac1a9c1d0a5%3A1044825541&pro=1;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/28269764/c/492/391/54/0/il/4c12cc/3226927889/il_340x270.3226927889_i5ww.jpg;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Renna Genuine Leather Mechanical Wallet with RFID Protection Brown Mechanism Leather Card Holder Wallet Handmade, Personalization possible;29.9;409.39;379.49;60.504222999999996;302.485777;999.0;419.0;4.75;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/734968234/renna-genuine-leather-mechanical-wallet?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sr_gallery-1-1&organic_search_click=1&pro=1&frs=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/16665319/c/1538/1222/92/197/il/be9f0c/2983033479/il_340x270.2983033479_pp12.jpg;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Renna Genuine Leather Mechanical Wallet with RFID Protection Mechanism Leather Card Holder Wallet Handmade (Personalization possible);29.9;409.39;379.49;60.504222999999996;302.485777;999.0;419.0;4.75;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/882822310/renna-genuine-leather-mechanical-wallet?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sr_gallery-1-2&organic_search_click=1&pro=1&frs=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/16665319/d/il/0bf81a/2751665147/il_340x270.2751665147_pnxs.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel İsimli Papatya Kolye;Interlocking Circle Name Necklace, Engraved Name Necklace, Family Name Necklace with Kids Name, Birthday Gift for Mom, Gift for Grandma;19.99;223.89;203.89999999999998;35.331872999999995;152.06812699999998;999.0;105.0;4.32;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1029765296/interlocking-circle-name-necklace?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-2&plkey=ea6cd5da4bf4405c700192778b1a7dbeefffe8d6%3A1029765296&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/26173921/c/1941/1543/0/199/il/754c78/3233658649/il_340x270.3233658649_gpkf.jpg;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Kişiye Özel İsimli Papatya Kolye;18K Gold Plated Name necklace,Personalized Necklace,Name Necklace,Necklace For Women,Custom Nameplate Necklace,Kids Name Necklace,Mom Gift;19.99;142.85;122.86;24.334745;82.025255;999.0;145.0;4.39;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/968986667/18k-gold-plated-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-3&plkey=84e82bfe31b97ec63f6dbc33f82199d0f89b1a03%3A968986667&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/26031617/d/il/4ed5e9/2913554796/il_340x270.2913554796_6nf8.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Personalized Metal Angel Wings Name Sign, Metal Wall Art,  Customized Home Decoration, Wedding, New Home , Housewarming Gift;19.99;311.2;291.21;47.17983999999999;227.53016;999.0;27.0;4.84;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/969831090/personalized-metal-angel-wings-name-sign?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-4&plkey=195b0d861f41cec6b6fcfba322b1e079906ae458%3A969831090&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/19195822/d/il/38c4e4/3234576763/il_340x270.3234576763_1ab1.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;Personalized Name Necklace, Sterling Silver/Gold/Rose Gold, Gift for Her, Custom Necklace, Dainty Necklace, Birthday Gift, Bridesmaid Gift;54.9;258.44;203.54;40.020308;147.019692;999.0;38.0;4.63;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1046754315/personalized-name-necklace-sterling?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-4&plkey=9dfe565aca1f2b7c1451a15c33ef66a96083fd6d%3A1046754315&pro=1&frs=1;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/28575344/c/1769/1406/98/408/il/b14120/3186779310/il_340x270.3186779310_9mf3.jpg;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
Kişiye Özel İsimli Papatya Kolye;Custom Letter Necklace, Personalized Name Necklace, Initial Necklace, Sterling Silver with 18K Gold Plated Necklace, Mom Gift, Gift for Her;19.99;142.99;123.00000000000001;24.353743;82.14625700000002;999.0;353.0;4.3;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1011890964/custom-letter-necklace-personalized-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-4&plkey=420ad9424753dd542f582a2fd1b316c5b7364b8f%3A1011890964&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/21974214/c/1481/1177/265/259/il/63f6c4/3159327211/il_340x270.3159327211_lckp.jpg;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Kişiye Özel İsimli Papatya Kolye;Personalized Daisy Flower Name Necklace, Customized 925K Silver Name Necklace, Gift for Mum, Gift for Her, Best Friend Gift from London;19.99;248.05;228.06;38.61038500000001;172.949615;999.0;4.0;5.0;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1020540224/personalized-daisy-flower-name-necklace?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sr_gallery-1-1&organic_search_click=1&frs=1&cns=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/29603832/d/il/7e8ed3/3187851065/il_340x270.3187851065_qvi3.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Personalised Metal Black  Clipper Lighter, engraved text name silver Comes in Gift Tin Metal clipper box bridesmaid gift;19.99;152.92;132.92999999999998;25.701243999999996;90.72875599999998;999.0;27.0;4.7;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/934949732/personalised-metal-black-clipper-lighter?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sr_gallery-1-1&organic_search_click=1&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/27405844/d/il/465073/2866541207/il_340x270.2866541207_7d1a.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
