name_cs;name_et;price_cs;price_et;brut_kar;all_et_fees_tl;net_kar;com_count_cs;com_count_et;rating_et;note_cs;link_et;link_cs;image_et;image_cs
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Custom Lighter Photo Engraved Personalized Writing Logo Valentines Gift Black Metalic Blue Silver Gold Purple Windproof Anniversary Pipe;16.9;246.89;229.98999999999998;38.45297299999999;175.037027;999.0;23.0;4.96;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/968553391/custom-lighter-photo-engraved?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-1&plkey=5af6a63beb3ad8633a57d1204329863e7fdd061d%3A968553391&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/28015942/d/il/c66c22/3140631853/il_340x270.3140631853_a4m1.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Full Name Monogram Matte Black Zippo Cigar Lighter - Black Metal Lighter with Personalized Engraving;16.9;226.92;210.01999999999998;35.743044;157.77695599999998;999.0;1588.0;4.83;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/679757007/full-name-monogram-matte-black-zippo?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-2&plkey=e8fb4569d11a1f5b1c4a608b4e1068964b8e6fff%3A679757007;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/12334423/d/il/3793f9/1766145532/il_340x270.1766145532_gton.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Personalised flat man with engraving of the initials in the gift set Black;16.9;322.65;305.75;48.733605;240.516395;999.0;438.0;4.75;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/889943135/personalised-flat-man-with-engraving-of?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-3&plkey=e51643a97b02880a0f3a88a223471c3613cbaef4%3A889943135&bes=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/18424719/d/il/8de3e5/2934246881/il_340x270.2934246881_hxic.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Personalized Leather Wallet, Minimalist Card Holder Corfu;26.9;336.12;309.22;50.56148399999999;242.15851600000002;999.0;23.0;4.65;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1022007538/personalized-leather-wallet-minimalist?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-1&plkey=4ade29c97571112256f5e0ad1471887702b10945%3A1022007538&pro=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/23821748/d/il/75d576/3158878578/il_340x270.3158878578_sdnc.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Fathers Day Gift for Dad,Personalized Wallet,Mens Wallet,Engraved Wallet,Leather Wallet,Custom Wallet,Gift for Men,Anniversary Gift for Him;26.9;263.14;236.23999999999998;40.658097999999995;179.08190199999999;999.0;13750.0;4.93;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/667282692/fathers-day-gift-for-dadpersonalized?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-2&plkey=481f785aa6ce80ad64d65e47923c1c4b6866413e%3A667282692&pro=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/19311499/c/3000/2382/0/0/il/b4be61/1839533908/il_340x270.1839533908_lgk6.jpg;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Custom leather zip Wallet, Monogram unisex zipper Wallet, Brown personalized Wallet, Best gift ideas, Fathers day gift;26.9;453.84;426.94;66.536088;343.903912;999.0;65.0;4.95;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/864394388/custom-leather-zip-wallet-monogram?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-3&plkey=9c027dd3d5a52cd733a99c0f56a4d146e82e07ed%3A864394388;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/19096504/d/il/b18ec1/2990466815/il_340x270.2990466815_bof0.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Spotify Barkodlu Plak;Custom Acrylic Song Plaque Couples Gift , a very special song for your special occasions;39.99;308.61;268.62;46.828377;205.29162300000002;999.0;56.0;4.84;Ücretsiz Kargo;https://www.etsy.com/listing/1005034166/custom-acrylic-song-plaque-couples-gift?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Spotify+Barcode+Plaque&ref=sc_gallery-1-1&plkey=5c7877402f91d6ef179339e0020f85ddb2c77c6c%3A1005034166&frs=1&bes=1;https://www.ciceksepeti.com/kisiye-ozel-spotify-barkodlu-plak-kc103182;https://i.etsystatic.com/26675805/d/il/50221d/3082494238/il_340x270.3082494238_ff48.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc103182-1/M/kisiye-ozel-spotify-barkodlu-plak-kc103182-1-a7c8843635d34e998c3ba8653be8a868.jpg
Kişiye Özel Spotify Barkodlu Plak;Custom Spotify Plaque with LED Light Stand, Choose Your Song or Album Cover & Upload any Photo, Spoty Barcode or QR Code Option;39.99;162.95;122.95999999999998;27.062314999999998;79.39768499999998;999.0;9.0;4.33;Ücretsiz Kargo;https://www.etsy.com/listing/1025896257/custom-spotify-plaque-with-led-light?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Spotify+Barcode+Plaque&ref=sc_gallery-1-2&plkey=fdfa06cb16cc48337dd024b2d8c66a84fc6d8418%3A1025896257&frs=1&bes=1;https://www.ciceksepeti.com/kisiye-ozel-spotify-barkodlu-plak-kc103182;https://i.etsystatic.com/26435044/c/1300/1033/0/244/il/52a509/3156845579/il_340x270.3156845579_aqsp.jpg;https://cdn03.ciceksepeti.com/cicek/kc103182-1/M/kisiye-ozel-spotify-barkodlu-plak-kc103182-1-a7c8843635d34e998c3ba8653be8a868.jpg
Kişiye Özel Spotify Barkodlu Plak;Personalised Custom Spotify Song Plaque with Wooden Stand, Couple Gift, Gift for Her, Gift for Him, Personalised Spotify Song, QR Code Song;39.99;238.16;198.17;37.26831200000001;144.40168799999998;999.0;2035.0;4.81;Ücretsiz Kargo;https://www.etsy.com/listing/1004612392/personalised-custom-spotify-song-plaque?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Spotify+Barcode+Plaque&ref=sc_gallery-1-3&plkey=1a2c4107162f50f173c53804c764a9282c0500e4%3A1004612392;https://www.ciceksepeti.com/kisiye-ozel-spotify-barkodlu-plak-kc103182;https://i.etsystatic.com/18011978/d/il/de52a5/3127326333/il_340x270.3127326333_j7fw.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc103182-1/M/kisiye-ozel-spotify-barkodlu-plak-kc103182-1-a7c8843635d34e998c3ba8653be8a868.jpg
Kişiye Özel İsimli Papatya Kolye;Personalized Daisy Name Necklace, Customized Silver Name Jewelry, Mother Gifts, Gift for Her, Best Friend Gift, Bridesmaid Gift, Minimalist;19.99;202.5;182.51;32.42925;133.58075;999.0;210.0;4.35;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/824286528/personalized-daisy-name-necklace?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-1&plkey=b437b5f2024f220da6b43c4ef33aa1b01729826e%3A824286528&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/21861142/d/il/9f071c/2409935152/il_340x270.2409935152_ce18.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
