name;price;comm;note;full_link;image
Paşabahçe Akvaryum Vazoda 7 Kırmızı Gül;69.99;999.0;Her Gün Aynı Gün / Ücretsiz Teslimat;https://www.ciceksepeti.com/akvaryumda-7-kirmizi-gul;https://cdn03.ciceksepeti.com/cicek/at727-1/M/akvaryum-vazo-icerisinde-gul-buketi-at727-1-1.jpg
Esrarengiz Güzel Hüsnüyusuf ve Lilyum Aranjmanı;69.99;999.0;Her Gün Aynı Gün / Ücretsiz Teslimat;https://www.ciceksepeti.com/esrarengiz-guzel-cicek-aranjmani-at3099;https://cdn03.ciceksepeti.com/cicek/at3099-1/M/esrarengiz-guzel-cicek-aranjmani-at3099-1-635960541454693433.jpg
Premium Kutuda Papatya Bahçesi;69.99;999.0;Her Gün Aynı Gün / Ücretsiz Teslimat;https://www.ciceksepeti.com/premium-kutuda-papatya-bahcesi-at3585;https://cdn03.ciceksepeti.com/cicek/at3585-1/M/premium-kutuda-papatya-bahcesi-at3585-1-8d6118a6f8fc7bd-80aa21b.jpg
Mutluluk Kaynağı Kek ve Kurabiye Buketi;49.99;999.0;Her Gün Aynı Gün / Ücretsiz Teslimat;https://www.ciceksepeti.com/mutluluk-kaynagi-kek-ve-kurabiye-buketi-gr1989;https://cdn03.ciceksepeti.com/cicek/gr1989-1/M/gr1989-1-8d76c32c4195b6c-87fb6d4c.jpg
Kişiye Özel Vazolu Hüsnüyusuf ve Gerbera Aranjmanı;69.99;999.0;Her Gün Aynı Gün / Ücretsiz Teslimat;https://www.ciceksepeti.com/kisiye-ozel-vazolu-husnuyusuf-ve-gerbera-aranjmani-at3464;https://cdn03.ciceksepeti.com/cicek/at3464-1/M/kisiye-ozel-vazolu-husnuyusuf-ve-gerbera-aranjmani-at3464-1-8d46ae75f1566df-796960ac.jpg
