name_cs;name_et;price_cs;price_et;brut_kar;all_et_fees_tl;net_kar;com_count_cs;com_count_et;rating_et;note_cs;link_et;link_cs;image_et;image_cs
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Personalized Tasbih, Custom Name with Bright Black Stone Round Prayer Beads,  Rosary Gift, Prayer Beads, Custom rosary, Golden Latters;99.0;173.87;74.87;28.544159000000004;29.825841;400;35.0;4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1006128302/personalized-tasbih-custom-name-with?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-1&plkey=5ddbb5d71a91f4946e3b72b008f3977082f5d79c%3A1006128302&frs=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/23948166/c/2250/1788/0/182/il/6e7d5f/3133088931/il_340x270.3133088931_bg4v.jpg;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Personalized Agate Stone Ring • Custom Name Ring For Men • Hand Engraved Initial Ring • Sterling Silver Aqeeq Men Ring • Father's Day Gift;99.0;484.21;385.21;70.657297;298.05270299999995;400;13.0;5.0;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/992575829/personalized-agate-stone-ring-custom?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-2&plkey=d111be52f081b99eec697796fa93e6d6ddc1221b%3A992575829&pro=1&frs=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/27081408/c/994/790/16/72/il/26c844/3031449901/il_340x270.3031449901_7cts.jpg;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;2 whisky glasses with whisky cooling stones and coasters in engraved wooden box - with desired name - gift idea for Father's Day or Birthday;99.9;421.2;321.29999999999995;62.106840000000005;242.69315999999995;174;423.0;4.7541;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/987020388/2-whisky-glasses-with-whisky-cooling?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-1&plkey=04f3d832164f3d7b74c4b6c8858de16761dfe4db%3A987020388;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/18424719/d/il/1ee4ef/3014173604/il_340x270.3014173604_lycp.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel İsimli Tesbih;Baby Girl Baptism Rosary or Communion Personalized Rosary with Sterling 925 Silver Letters & Swarovski Pink Pearls Girl Baptism Gift;59.0;399.28;340.28;59.132296;264.647704;135;1137.0;4.7803;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/200652042/baby-girl-baptism-rosary-or-communion?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-1&plkey=de39e56b81969dccfb6fbf03f7524d5f8d48b21e%3A200652042;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158;https://i.etsystatic.com/9298935/c/1821/1446/382/160/il/1c6f59/1829355909/il_340x270.1829355909_1xey.jpg;https://cdn03.ciceksepeti.com/cicek/kc378158-1/M/kisiye-ozel-isimli-tesbih-kc378158-1-4.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Personalized Tasbih, Yellow Agate and Onyx Gemstone Beads, Customized Tasbih İslamic Gift, Ramadan Gift, Tasbeeh, Gift, Misbaha, Subha;99.9;179.96;80.06;29.370572000000003;34.189428;174;35.0;4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/998586560/personalized-tasbih-yellow-agate-and?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-2&plkey=bd94f94f205791162fea75d00384f6573c4d77a5%3A998586560&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/23948166/c/2250/1788/0/288/il/5b84eb/3105088657/il_340x270.3105088657_ku2z.jpg;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Masculine Beaded Bracelet: Black Acrylic, Stone, Glass Beads & Gold Personalized Name Letters - Boys, Men, Males, All Ages - Free Shipping;99.9;52.1;-47.800000000000004;12.01997;-76.31997000000001;174;3790.0;4.9008;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/710578380/masculine-beaded-bracelet-black-acrylic?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-3&plkey=ddb25939c4bc0242353fb000367a6fe709d43c80%3A710578380;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/9102727/d/il/3036da/2003390995/il_340x270.2003390995_6cud.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Onyx Tasbih Custom Name with Matte Black Stone Round Prayer Beads, Personalized Rosary Islamic Gift, Muslim Prayer Beads, Masbaha, Subha;99.9;132.12;32.22;22.878684000000003;-7.1586840000000045;174;35.0;4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/834028079/onyx-tasbih-custom-name-with-matte-black?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-4&plkey=892f0310cedfa184e00668649c8ee1b6546d7a32%3A834028079&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/23948166/c/1595/1268/54/1336/il/64ae4f/2442676299/il_340x270.2442676299_1sv6.jpg;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel İsimli Tesbih;Baby Girl or Boy Personalized Name Rosary, for Baptism, Christening, Communion, Godchild Gift;59.0;375.14;316.14;55.856498;243.783502;135;1587.0;4.7657;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/597677509/baby-girl-or-boy-personalized-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-2&plkey=377ea1b25c56e343764dd24b9786fc3d68197457%3A597677509;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158;https://i.etsystatic.com/7044373/c/1536/1219/0/180/il/ce7e00/1489393477/il_340x270.1489393477_fz3r.jpg;https://cdn03.ciceksepeti.com/cicek/kc378158-1/M/kisiye-ozel-isimli-tesbih-kc378158-1-4.jpg
Kişiye Özel İsimli Tesbih;Custom & personalized St Michael rosary beads, engraved cross, wood beads, Archangel St Michael medals and custom centerpiece | AndavyGifts;59.0;242.5;183.5;37.85725;129.14275;135;371.0;4.9913;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/946175047/custom-personalized-st-michael-rosary?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-3&plkey=67c5ac9add939ddd87aacc21b6554d6f865f60f6%3A946175047&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158;https://i.etsystatic.com/21234847/d/il/71b577/2953342310/il_340x270.2953342310_cmwn.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc378158-1/M/kisiye-ozel-isimli-tesbih-kc378158-1-4.jpg
Kişiye Özel İsimli Tesbih;Personalised Rosary Bead in White and Brown Christening,Confirmation,First Communion Gift,Baby or Boy Keepsake,Catholic Rosary Gift;59.0;338.2;279.2;50.843740000000004;211.85626;135;97.0;4.8889;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/885399633/personalised-rosary-bead-in-white-and?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-4&plkey=5dca1e6409b68a165c734da8447b58301921324c%3A885399633&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158;https://i.etsystatic.com/21269009/d/il/cb5572/3041128172/il_340x270.3041128172_32jd.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc378158-1/M/kisiye-ozel-isimli-tesbih-kc378158-1-4.jpg
