name;price;com_count;note
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;99.00;396;Aynı Gün Teslimat Seçeneği
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;99.90;173;Aynı Gün Teslimat Seçeneği
